Region,Cell_Type,n_cell,P_val(association),P_val(heterogeneity)
AMY_BLN_BL,astrocyte,1057,0.10889111,0.04195804
AMY_BLN_BL,central nervous system macrophage,278,0.11888112,0.39060938
AMY_BLN_BL,endothelial cell,40,0.005994006,0.056943055
AMY_BLN_BL,ependymal cell,139,0.0959041,0.13386613
AMY_BLN_BL,fibroblast,43,0.21578422,0.47252747
AMY_BLN_BL,leukocyte,8,0.04795205,0.56443554
AMY_BLN_BL,neuron,30681,0.6083916,0.42057943
AMY_BLN_BL,oligodendrocyte,2233,0.16283716,0.35264736
AMY_BLN_BL,oligodendrocyte precursor cell,780,0.5724276,0.12087912
AMY_BLN_BL,pericyte,19,0.0989011,0.35464534
AMY_BLN_BL,vascular associated smooth muscle cell,7,0.03196803,0.024975024
AMY_BLN_BM,astrocyte,1099,0.056943055,0.05994006
AMY_BLN_BM,central nervous system macrophage,507,0.09290709,0.25674325
AMY_BLN_BM,endothelial cell,44,0.014985015,0.008991009
AMY_BLN_BM,ependymal cell,5,0.27972028,0.975025
AMY_BLN_BM,fibroblast,45,0.27572426,0.6073926
AMY_BLN_BM,leukocyte,14,0.006993007,0.121878125
AMY_BLN_BM,neuron,26270,0.6293706,0.41958043
AMY_BLN_BM,oligodendrocyte,2032,0.16083916,0.16983017
AMY_BLN_BM,oligodendrocyte precursor cell,1060,0.5014985,0.02097902
AMY_BLN_BM,pericyte,12,0.02097902,0.4955045
AMY_BLN_BM,vascular associated smooth muscle cell,2,0.6923077,NA
AMY_BLN,astrocyte,863,0.025974026,0.0999001
AMY_BLN,central nervous system macrophage,240,0.2007992,0.82617384
AMY_BLN,endothelial cell,11,0.00999001,0.85114884
AMY_BLN,ependymal cell,17,0.4045954,0.066933066
AMY_BLN,fibroblast,34,0.13286713,0.63536465
AMY_BLN,leukocyte,4,0.002997003,0.47452548
AMY_BLN,neuron,24560,0.86613387,0.8051948
AMY_BLN,oligodendrocyte,2883,0.15884116,0.7732268
AMY_BLN,oligodendrocyte precursor cell,365,0.36363637,0.9050949
AMY_BLN,pericyte,7,0.008991009,0.56443554
